ID,RS,AG_ECO,MVT_CREDIT 2016 (kD),MVT_DEBIT 2016 (kD),T_I (%),NBR_IMP,D_M_R (jours),R_R_B (%),MVT_CONFIE_CG (kD),ANC_DERN_IMP_J,POID_IMP (%),NBR_JR_DEB,NBR_CPT_CLT,NBR_JOUR_DAUT,SAISIE_ARRET_CPTE,ANC_PREMIER_IMPAY,NBR_REPORT,NBR_REECHL,NBR_CONSOLD,"NBRREP+REECHL+CONSOD 2016
","IND_REP+REECHL+CONSOD 2016
","REP_OR_REECH_OR_CONSOD2016
",BOOL_INTERD_CHQ,NBR_PREAVIS_CHQ,NBR_CHQ_REG,MONT_AUT (mD),MONT_UTIL_2016 (mD),Code_ACTIV,S ACTIV,SS ACTIV,DATE_ANC_RELATION_CLIENT_2 (year),LIB_CATP,COD_NAT1_PAYS,BOOL_RES_PERS,CODE_POSTAL,COD_GOUV_GOUV,COD_TRIB_TRIB,COD_SECT_PERS,FJ,COD_ETAT_CLT,COD_GRP_GRP,UIB_2015,UIB_2016,BCT_2015,BCT_2016,ENCOURS_2015,ENCOURS_2016,ENCOURS/ENG_2015 (%),ENCOURS/ENG_2016 (%),IMP_UIB_2015 (kD),IMP_UIB_2016 (kD),IMP/ENG_2015 (%),IMP/ENG_2016 (%),DEB_UIB_2015 (kD),DEB_UIB_2016 (kD),DEB/ENG_2015 (%),DEB/ENG_2016 (%),IMP_PR_2015,IMP_INT_2015,IMP_PR_2016,IMP_INT_2016,UIB / BCT2015 (%),UIB / BCT2016 (%),Croi_BCT,Croi_UIB,Etat 2016
1352,BRUSA SARL,SNF,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,1,0,NON,0,0,0,0,0,0,0,NON,0,0,0.0,0.0,1,CONSTR,AUTRE_SERV,7941,SCCG,TUN,RES,1002,0,1,V,SARL,A,PAS GPE,0.0,1.7709,0.0,1.7709,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1
5846,ATLAS ENTREPRISE,SNF,4895.7085,2549.959693,0.05556,1,4.778,0.9623999999999999,2694.623,344,0.03759999999999999,35,3,0,NON,0,6,0,0,6,1,1,NON,0,109,148818.332,148818.332,1,CONSTR,AUTRE_SERV,9717,SCCG,TUN,RES,3093,0,1,V,SARL,A,PAS GPE,466.849049,600.403269,515.012,726.892,233.0,245.0,0.4990906600304545,0.4080590707110224,0.0,0.0,0.0,0.0,0.0,8.06665,0.0,0.0134353865418411,0.0,0.0,0.0,0.0,0.9064818858589705,0.8259868990166351,0.4114078895249045,0.2860758103418564,0
11503,STE ZNAIDI INDUSTRIES ALIMENTA,SNF,29886.832017,26822.746095,0.1913,22,9.365,0.9629300000000001,14601.633,30,0.03707,260,2,88,NON,0,10,0,0,16,1,1,NON,29,305,0.0,300000.0,2,IAA,IND_MANU,7530,SCCG,TUN,RES,8090,0,1,V,SARL,A,PAS GPE,4747.582072,5196.684832,4747.582,5765.188,4299.717708,4715.468814,0.9056647452939492,0.9073994222168753,0.0,0.0,0.0,0.0,447.864364,481.216018,0.09433525470605071,0.09260057778312464,0.0,0.0,0.0,0.0,1.00000001516561,0.9013903504968095,0.2143419534407198,0.09459610243468797,0
23431,STE BENZARTI ET CIE,SNF,5634.888163,2872.832768,0.0,0,0.0,0.0,0.0,0,0.0,253,1,0,NON,0,0,0,0,10,0,0,NON,5,801,0.0,233119.279,3,COM_Rep_Auto,COM,1877,SCCG,TUN,RES,5000,0,1,V,SARL,A,PAS GPE,157.619213,231.548351,157.619,231.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.619213,231.548351,1.0,1.0,0.0,0.0,0.0,0.0,1.000001351359925,1.000001515884395,0.4690360933643787,0.4690363350564375,0
32053,"INCHIRAH TURKI ""IMPRIMERIE RAFIAA""",SNF,121.34801,38.849692,0.04,1,3.167,1.0,49.209,264,0.0,122,1,10,NON,0,1,0,0,1,1,1,NON,20,20,0.0,20000.0,4,IPCEI,IND_MANU,4401,SCCG,TUN,RES,2000,0,1,V,SUARL,A,PAS GPE,51.720288,24.72073,77.352,43.513,18.855779,12.441708,0.3645721965043969,0.5032904772634141,9.0,0.0,0.1740129521320531,0.0,23.864509,12.279022,0.4614148513635501,0.4967095227365859,9.0,0.0,0.0,0.0,0.668635432826559,0.5681228598349919,-0.4374676802151205,-0.5220303104267323,0
32067,CO TU SUD,SNF,1052.911567,397.329149,0.0,0,0.0,0.0,0.0,0,0.0,169,1,0,NON,0,0,0,0,1,0,0,NON,0,184,0.0,30000.0,5,COM_Rep_Auto,COM,8517,SCCG,TUN,RES,2013,0,1,V,SARL,A,PAS GPE,13.423541,19.746483,35.733,35.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.583541,19.746483,0.9374233669044554,1.0,0.0,0.0,0.0,0.0,0.3756623009543,0.5517318524727578,0.001595164133993743,0.4710338352600107,0
32253,FLORALIES,SNF,1027.535016,203.22791,0.0,0,0.0,0.0,0.0,0,0.0,244,1,0,NON,0,0,0,0,0,0,0,NON,1,129,0.0,38491.906,6,AGR_Ch_S,AGR,5527,SCCG,TUN,RES,1004,0,1,V,SARL,A,PAS GPE,34.788912,31.761047,34.789,31.761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.788912,31.761047,1.0,1.0,0.0,0.0,0.0,0.0,0.9999974704648021,1.000001479802273,-0.08703900658254049,-0.08703534620456088,0
32298,COMP.DE REPRESENTATION & DE DISTRIBUTION,SNF,4060.065445,4390.503665,0.01351,7,2.102,0.98883,5891.538,180,0.01117,22,1,0,NON,0,0,0,0,0,0,0,NON,0,205,848281.369,721695.496,7,COM_Rep_Auto,COM,4660,SCCG,TUN,RES,2037,0,1,V,SARL,A,PAS GPE,464.497824,600.092132,497.166,678.577,458.853075,600.092132,0.9878476309073086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9342912105815764,0.8843390389005227,0.3648901976402248,0.2919159164887715,0
32343,SOCIETE POLYTEK -SARL,SNF,472.083873,121.092183,0.0,0,2.333,1.0,110.002,0,0.0,10,1,0,NON,0,0,0,0,0,0,0,NON,1,59,23869.031,23869.031,8,FEEE,IND_MANU,4636,SCCG,TUN,RES,1004,0,1,V,SARL,A,PAS GPE,18.0,6.869558,52.65,33.748,18.0,6.869558,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3418803418803419,0.203554521749437,-0.3590123456790124,-0.618357888888889,0
32361,STE  S E D I C   SARL,SNF,151.517269,128.903723,0.0,0,0.0,0.0,0.0,0,0.0,93,1,0,NON,0,0,0,0,0,0,0,NON,3,164,0.0,8423.41,9,ILSE,AUTRE_SERV,13970,SCCG,TUN,RES,1000,0,1,V,SARL,A,PAS GPE,0.339516,0.0,0.34,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.339516,0.0,1.0,,0.0,0.0,0.0,0.0,0.9985764705882352,0.0,-1.0,-1.0,0
